captions,id
<start> an old woman is trying to blow out candles loosing her denture. <end>,95
<start> a man walking through a door <end>,96
<start> a man walks through a room indoors <end>,96
<start> a man is making facial expressions <end>,97
<start> asian boy talking to the camera in front of an interview wall <end>,97
<start> a man turns his head and smiles <end>,99
<start> a man behind a microphone smiles and says unbelievable. <end>,99
<start> a man in a park lights a bunch of leaves <end>,100
<start> a man next to some trees is lighting a fire at the floor which spreads immediately along a line. <end>,100
<start> 2 persons talk to each other indoors <end>,101
<start> a woman holds a figure indoors <end>,101
<start> a woman is holding microphone <end>,102
<start> 4 women speak into a microphone indoors <end>,102
<start> a woman is shown in different scenes <end>,103
<start> woman singing while smiling at nighttime <end>,103
<start> an asian man lifts his hand beside his face <end>,105
<start> 5 different men in front of a wall are shown one after the other with different hand gestures. <end>,105
"<start> at night, a football player falls on the ground by showing three views of the video camera in the football stadium <end>",106
<start> in a football stadium a player in black and white clothes doing a dive <end>,106
<start> a man kisses a woman indoors <end>,107
<start> guy and other person kissing in a room <end>,107
<start> a man winks at the camera on a stage <end>,108
<start> asian guy singing into microphone in a dark surrounding <end>,108
<start> 3 asian men sing with a microphone <end>,109
<start> 3 asian boys in front of a yellow wall are singing. <end>,109
<start> a man raises his microphone up in the air <end>,110
<start> white guy holding microphone in the air in a sports arena <end>,110
<start> a dog moves his butt in a kitchen <end>,111
<start> dog moves his butt in the kitchen <end>,111
<start> a person jumps into a window outdoors at daytime <end>,112
"<start> outdoor, at daytime a boy jumps through a huge glass window that breaks apart and runs away. <end>",112
"<start> the audience jumps and rise their hands, where a basketball player scores the ball in the basketball stadium <end>",113
<start> on a side of a basketball hall a african commentator get very delight <end>,113
<start> a chinese man speaks and his colleague come and kiss him <end>,114
<start> in a radio studio a chinese man get kissed by another man <end>,114
<start> a man hitting a baseball with a bat <end>,115
<start> a baseball player hits a ball on a field at daytime <end>,115
<start> a person smashing a tv in a living room <end>,116
<start> an old man throws something on tv in living room <end>,116
<start> a group of people walks along a hall <end>,118
<start> a group of people walking through a hall starting to scream is shown from the top. <end>,118
<start> a glow stick goes on and off <end>,119
<start> red light blinking inside <end>,119
<start> a man takes a shoe indoors <end>,120
<start> a woman approaches a man in a room and gives him a violet shoe. <end>,120
<start> a man wearing glasses <end>,121
<start> a man says something into the camera <end>,121
<start> a boy holds a cup indoors <end>,122
<start> 2 men sitting indoor in front of a window start laughing loudly. <end>,122
<start> a group of asian on a street carries a figure <end>,123
<start> a crowd of people carries a small statue with an angel through a street and shouts things. <end>,123
<start> a child gets tackled by a goat at daytime <end>,124
<start> small child getting hit by a goat on a paddock at daytime <end>,124
<start> a white man speaks <end>,125
<start> an interview with 2 men inside a room is shown. <end>,125
<start> two singer speak onstage <end>,126
<start> on a podium 2 young european men are talking <end>,126
<start> person throws a chain of lights indoors <end>,127
<start> a person throws christmas tree decorations indoors <end>,127
<start> a boy with a mask carries a plastic sword. he walks at home and strikes other person <end>,128
<start> in a apartment a little kid with mask and knife stalk and attack a man <end>,128
<start> a group of women walk on a street at daytime <end>,129
<start> people in colorful dresses walking along a road at daytime are shown from behind. <end>,129
<start> text appears and man looks in different outdoor places <end>,130
<start> in a skyscraper a european man is shown in a sequence showing model business <end>,130
<start> a woman shakes her head <end>,131
<start> a few woman talking in an elevator at daytime <end>,131
<start> a woman is turning meat on a grill <end>,132
<start> asian woman turning meat on a grill outside in the evening <end>,132
<start> a black woman in a car speaks <end>,133
<start> a black woman driving a car at daytime is talking with the co-driver. <end>,133
<start> man points into the air <end>,134
<start> man sings on a stage <end>,134
<start> a woman moves her black shirt in an indoor place <end>,135
<start> in a seat row selena gomez lift their shirt <end>,135
<start> boy heads up water on himself indoors <end>,136
<start> boy drinks something indoors <end>,136
<start> a man walks past other men <end>,137
<start> soccer players standing in the tunnel of a soccer stadium in the evening <end>,137
<start> persons in costumes dance together outdoors at daytime <end>,138
<start> persons in costumes perform on a stage at daytime <end>,138
<start> a basketball player gesticulates wildly while going backwards on a basketball court <end>,139
<start> basketball players doing weird movements on a basketball field <end>,139
<start> a man does tricks with a soccer ball outdoors at daytime <end>,140
<start> soccer player juggling a soccer ball on soccer training field daytime <end>,140
<start> a man wearing a black cap <end>,141
<start> a man says something into a microphone <end>,141
<start> a baseball player is defending a base at daytime <end>,142
<start> baseball player sliding towards another player on a baseball field in the evening <end>,142
<start> man crawls over the ground on a soccer field at daytime <end>,143
<start> soccer player rolls himself on a soccer field at daytime <end>,143
<start> a rocket is landing on a ship on the sea <end>,145
<start> a rocket lands on a platform on the ocean at daytime <end>,145
<start> 4 men dance on chairs at daytime <end>,146
<start> 4 men dance on a chair at daytime <end>,146
<start> man speaks to audiences indoors <end>,147
<start> man looks into the camera in a tv show <end>,147
"<start> in the daytime, a chinese man runs after chickens in a farm <end>",148
<start> at a farm a chinese man with a straw hat try to catch running chickens <end>,148
<start> a group of basketball players fighting during a basketball match <end>,149
<start> a man tries to mediate on a basketball field <end>,149
<start> 2 asian men in a park at daytime hold each others hands <end>,150
"<start> at daytime, a group of 4 asian boys stands on a street and takes each others hand. <end>",150
<start> a goalkeeper fails at holding a ball on a soccer field <end>,151
<start> soccer goalkeeper letting the ball slip through on a soccer field at nighttime <end>,151
<start> a person puts a figure into a cup indoors <end>,152
<start> a plastic figure is dived into a coffee beaker standing on a table. <end>,152
<start> a golden woman walks towards a car <end>,153
<start> a naked woman with gold body painting is moving towards a luxury car standing indoor. <end>,153
<start> a man plays a violin indoors <end>,154
<start> inside a room a black man plays violin shown in different views. <end>,154
<start> man cries outdoors at daytime <end>,155
<start> soccer player holds his shirt on a soccer field <end>,155
<start> a soccer player is falling down on a soccer field at daytime <end>,156
<start> soccer player slipping while trying to catch the ball on a soccer field at nighttime <end>,156
<start> a man holds a guitar onstage and smiles <end>,157
<start> on a podium a european man with guitar is talking <end>,157
<start> a girl is playing with a swing on a playground <end>,158
"<start> a girl falls from a swing, stands up and is violated by the swing outdoors at daytime <end>",158
<start> a chinese man looks to the face of a dog and moves his face according to the face moving of the dog in a market <end>,159
<start> on a sidewalk a chinese man try to look at eyes of a little white dog directly <end>,159
"<start> a football player shoots the ball in the football stadium, but it returns again and his colleague scores it <end>",160
<start> in a football stadium the player in blue clothes snap a shot to the goal and hit the post <end>,160
<start> a dog sleeps on a bed and move the hands <end>,161
<start> in a bed a little dog moves his legs <end>,161
<start> a man jumps into the air in a gym <end>,162
<start> a woman rolls over the ground gym <end>,162
<start> two women and a toy (rabbit) dance onstage. the toy moved and turns very quickly <end>,163
<start> on a podium a big white plush rabbit with pink hat perform a dance <end>,163
<start> a person floating in a wind tunnel <end>,164
<start> a person dances in the air in a wind tunnel <end>,164
<start> a chinese man plays on a piano in a laboratory or classroom. where an other man carries a mobile stative to take a photo <end>,165
<start> in a classroom 2 chinese men play with the keyboard <end>,165
<start> a huge crowd weaving flags in a soccer stadium <end>,166
<start> a crowd of people swirl banners in a soccer stadium at night <end>,166
<start> a woman playing a video game <end>,167
<start> a woman plays a video game indoors <end>,167
<start> a playing card changes its appearance <end>,168
<start> playing card changing its appearance on a table <end>,168
<start> a man kisses another man indoors <end>,169
<start> a boy embraces another one and kisses his neck. <end>,169
<start> man puts his hand on the belly of a woman indoors <end>,170
<start> man strokes a woman indoors <end>,170
<start> an asian woman on a stage does the robot dance <end>,171
<start> an asian woman in front of a blinking wall starts moving like a robot. <end>,171
<start> men hold bags indoors at daytime <end>,172
<start> soccer player walk through a floor indoors at daytime <end>,172
"<start> in the daytime, multiple men playing basketball in a sports hall, where a man try to score the basketball, an other man try to prevent him but he fall on the ground <end>",174
<start> in a sports hall an young african basketball player is jumping and making a score <end>,174
<start> a wristwatch is lying on a bed <end>,175
<start> a person snaps fingers in bedroom <end>,175
"<start> in the daytime, a girl throws a bag with water to the ground. then, two other girls are go away <end>",176
<start> a girl throws a bag outdoors at daytime <end>,176
"<start> in the daytime, 3 persons turn and dance in an indoor place <end>",177
<start> in a room with big windows members of a dance group perform a synchronous dance <end>,177
<start> a boy cries indoors <end>,178
<start> a little black boy inside a room screams loudly. <end>,178
"<start> a woman sits on a chair and speaks, while an other woman looks and hears <end>",179
<start> in a dressing room a european woman in white clothes complain to another woman <end>,179
<start> a man dances and appears with different cloths in an indoor place <end>,180
<start> a man dances in different locations <end>,180
<start> 2 african men talking to each other with one of them wearing hat and bearded <end>,181
<start> 2 men sing on a street at night <end>,181
"<start> in the daytime, two women sing and dance in car <end>",182
<start> in a car a african woman in white clothes is singing <end>,182
"<start> in the daytime at sunset, sea waves move to the beach <end>",183
<start> on a beach red clouds above waves <end>,183
<start> a woman says something on a couch <end>,184
<start> a blond woman sitting on a couch in front of a white wall is saying things in different languages. <end>,184
<start> a cat plays with a nut in a kitchen <end>,186
<start> cat chasing a pistachio in a kitchen at daytime <end>,186
<start> some stickers are being placed on a black seat <end>,187
<start> stickers appear on a seat <end>,187
<start> a man dressed up as a tin man is dancing robotically on a stage <end>,188
<start> man in robot costume dancing on a theater stage <end>,188
<start> person kicks a ball on a soccer field at daytime <end>,189
<start> person hits another person with a ball on a soccer field at daytime <end>,189
<start> a man comes into the room of a boy <end>,190
<start> a boy watching porn on his bed gets surprised by a young man. <end>,190
<start> 2 men sing outdoors <end>,191
<start> 2 men in front of a white wall are beatboxing. <end>,191
<start> a person sits down outdoors <end>,192
<start> a man cries indoors <end>,192
"<start> an african woman with short hair cries in an indoor place. suddenly, she stops with crying, walks and raises her hand to other women <end>",193
<start> baldness african woman weep and walk as a model <end>,193
<start> a small man is dancing on a stage <end>,194
<start> small black person dancing on a stage <end>,194
<start> a young boy playing golf <end>,195
<start> a boy rides a golf club on a golf court at daytime <end>,195
<start> a woman wearing a red headscarf <end>,196
<start> a woman shows signs with her hand indoors <end>,196
<start> a white man turns his head around <end>,197
<start> a bearded man makes a high frequency noise in a room. <end>,197
<start> a person in a bear costume is trying to fight a man on a street <end>,198
<start> black man and person in bear costume orbiting each other on the street at dusk <end>,198
<start> a man is wiping the floor in a living room <end>,199
<start> a man falls down on a wet ground indoors at daytime <end>,199
"<start> in the daytime, a boy wears two green swim wings . he has a piece of chocolate in his hand and try to eat it <end>",200
<start> kid in yellow and blue clothes with green bangles try to bit into the bangles <end>,200
<start> a woman in a bedroom lies in a bed <end>,201
<start> a woman lying on the bed of a bedroom watches her mobile phone. <end>,201
<start> a white man on a street in summer runs with legs and arms <end>,202
<start> a man on a sidewalk starts moving as a running dog at daytime. <end>,202
<start> an african man raises his hands at home <end>,203
<start> in a living room a african man imitate punches <end>,203
"<start> a monkey try to strike the child with its hand in the zoo, but the child stay without a fear. then, the monkey turns <end>",204
<start> in a zoo a upset monkey threatens a child and show his backside to the child <end>,204
<start> a woman with long black hair walking towards a wrestling ring <end>,205
<start> a woman performs in several locations <end>,205
<start> a man wearing an orange shirt <end>,206
<start> a referee shows a yellow card on a soccer field <end>,206
<start> woman holds her nose outdoors <end>,207
<start> man points to the ground in a tv show at daytime <end>,207
<start> a woman gets hit by a basketball <end>,208
<start> two woman getting hit by a basketball while looking at a smartphone in a basketball stadium <end>,208
<start> an asian man in a jacket moves his arm up and down outdoors <end>,209
<start> a young asian man with a black winter jacket is lifting a barbell up and down. <end>,209
<start> a man is exhaling smoke and then inhaling it back again in a room <end>,210
<start> guy blowing smoke bubble in a room <end>,210
<start> a man is wearing a white shirt <end>,211
<start> a man says something in a tv show <end>,211
<start> a woman making faces <end>,212
<start> a woman grimaces indoors <end>,212
<start> 2 persons in costumes sit in a car at daytime <end>,213
<start> boy wears a mask in a car at daytime <end>,213
<start> 2 black men in a living room stand up <end>,214
<start> 2 black men playing cards jump up when something starts shaking the room. <end>,214
"<start> in the daytime, a man dances in different places indoor and outdoor <end>",215
<start> at different places of a school building a young european man with green and black jacket and jeans is dancing <end>,215
<start> a volcano explodes at daytime <end>,217
<start> volcano erupting outside at daytime <end>,217
<start> an asian man on the street in summer comes closer <end>,218
<start> an asian guy with a dust mask surrounded by a group of other asian persons is walking towards the camera and says something. <end>,218
"<start> in the daytime, a man walks and dances on the street, while other persons walk and look to him <end>",219
<start> on a sidewalk a african girl in black clothes perform a jumping dance <end>,219
<start> 2 boys play with a toy outdoors at daytime <end>,220
<start> 2 asian boys are playing with toys in a room. <end>,220
<start> a man speaks and a child comes up to the video camera and speaks at home <end>,221
<start> in a living room a african man and european boy are talking <end>,221
<start> a man is dancing in front of an audience <end>,222
<start> a man dances in front of a trophy cabinet <end>,222
<start> a man gets off his car on a street <end>,223
<start> a young man leaves his car to stroke a small white dog in another car. <end>,223
<start> a woman holds a baby on a web at daytime <end>,224
<start> persons are talking to each others between different straw huts outside at daytime. <end>,224
<start> a boy in a kitchen talks to an animated bottle <end>,225
<start> a boy and a brown plastic bottle are talking in a kitchen. <end>,225
<start> a person jumping over an obstacle during a game show <end>,226
<start> a person hops over an obstacle in a tv show <end>,226
<start> a group of people is dancing with some half naked <end>,227
<start> a man dances indoors <end>,227
<start> children play soccer on a soccer field <end>,228
<start> children plays soccer on a soccer field at daytime <end>,228
"<start> in the daytime, a man shoots the ball very strong, but the ball return from the fence to his head in a football training field <end>",229
"<start> in a park a person in black and gray clothes try to kick a football at the backside of another person, but fails and be hit by the ball <end>",229
<start> a cat opens its mouth <end>,230
<start> in a living room a cat with brown and grey fur yawn <end>,230
<start> two women fight with hands and legs at home. one woman jumps in the air <end>,231
<start> in a living room 2 woman perform a fight <end>,231
<start> a man with a pillow in his hand bends forward in a room <end>,232
<start> black boy flexing his muscles in a room <end>,232
<start> a dog is driving a car on a frozen up lake <end>,233
<start> car drifting around on a frozen lake in the winter <end>,233
<start> odell beckham jr is dancing in the end zone at metlife stadium <end>,234
<start> football players are dancing on a football field at daytime <end>,234
<start> 2 women talk with each other indoors <end>,235
<start> 2 women are talking to each other in a room. <end>,235
<start> a puppy sleeps lying on the back <end>,236
<start> a small dog is lying on the legs of someone and barks. <end>,236
<start> woman moves her butt <end>,238
<start> woman moves her butt indoors <end>,238
<start> a person is bowing <end>,239
<start> a woman makes strange noises in a tv show <end>,239
<start> a chinese woman walks in a model show onstage <end>,240
<start> on a podium a chinese woman with hat is presenting the hat and the clothes <end>,240
<start> an african man sings at home <end>,241
<start> african man in black clothes and with black hat is singing to the camera <end>,241
<start> 4 women holds a microphone on stage <end>,242
<start> 4 women perform on a stage <end>,242
<start> a dog wiggles his bottom in a room <end>,243
<start> dog shaking its bottom in a room <end>,243
<start> a man is talking to the camera in a room <end>,244
<start> arabic man talking in a room <end>,244
<start> a woman with large earrings is singing <end>,245
<start> a woman sings into the microphone outdoors at daytime <end>,245
<start> multiple women sing in a studio <end>,246
<start> group of people in costumes are singing <end>,246
"<start> a boy takes a piece of pizza and puts it in his mouth. then, he dances <end>",247
<start> a boy eats pizza in a kitchen <end>,247
<start> a man talks in a room <end>,248
<start> white guy talking in a room <end>,248
<start> man has an interview outdoors at daytime <end>,249
<start> a man speaks into a microphone outdoors at daytime <end>,249
"<start> in the daytime, a man moves the zipper of the jacket very quickly at home <end>",250
<start> in a living room a man with pink clothes and cap use a phonograph <end>,250
<start> a man on the street falls while skating <end>,251
<start> a man with skateboards gives another one rolling on a skateboard high five and he crashes down with the coffees in his hands. <end>,251
<start> man falls down outdoors at daytime <end>,252
<start> man falls down outdoors at daytime <end>,252
<start> a hedgehog eats an apple <end>,253
<start> a hedgehog take a given slice of apple <end>,253
<start> a man performs in a floor at daytime <end>,254
<start> man does acrobatics in a floor <end>,254
<start> a man is putting metal into an electric socket in a room <end>,255
<start> black guy putting metal in a socket-outlet in a room <end>,255
<start> a woman talks into a microphone <end>,256
<start> asian people standing on a stage <end>,256
<start> a man lying on the floor <end>,257
<start> a man laying on his belly in a kitchen <end>,257
<start> a chinese woman wearing black and white speaks indoors <end>,258
<start> a young chinese woman in nurse clothes is talking <end>,258
<start> two photos of a woman <end>,259
<start> in a split screen with 2 images different perspective of the face of a woman <end>,259
"<start> in the daytime, a dog stands on the stairs at home and falls to the ground <end>",261
<start> at a stairway a little dog is scared by camera and fall down through handrail <end>,261
<start> man lies on the ground under the foot of other man in an indoor place <end>,262
<start> in a subway station security personnel seize a person in gray clothes <end>,262
<start> a person holding a phone to the ear <end>,263
<start> a man in woman clothes falls down in sow next to street at daytime <end>,263
<start> a man smokes and produces smoke rings at home <end>,264
<start> in a living room a european man is smoking and create circular smoke <end>,264
<start> man raises his arm on a street at daytime <end>,265
<start> man opens his mouth on the street at daytime <end>,265
<start> a man make a bath for a cat in the bathtub of the bathroom <end>,266
<start> in a bathtub a red cat get washed <end>,266
<start> an asian man cries indoors <end>,267
<start> an asian boy shows some toys and starts crying. <end>,267
"<start> in the daytime, a man stands in the street. he runs and jumps through the open window into a moving car and could sit in his seat <end>",268
<start> on a street a man is running and jumping into the driving car through the window <end>,268
<start> 2 persons hug each other in a tv show <end>,269
<start> a women with big boobs embraces a crying boy with glasses. <end>,269
<start> a group of people in a kitchen shakes their bottoms and upper body's <end>,270
<start> a group of young people are shaking and dancing inside a kitchen and the floor of a house. <end>,270
"<start> man makes a video with his mobile in the bed. then, his stomach has increased when he turns <end>",271
<start> in a bathroom a european topless man create a video with his mobile phone <end>,271
<start> a person is making faces <end>,272
<start> a woman says something and looks crazy <end>,272
<start> a man running on a treadmill in a gym <end>,273
<start> a man does a workout of stepping in a gym <end>,273
<start> a man slips on a banana and makes a salto outdoors at daytime <end>,274
<start> white guy doing backflip on a street at daytime <end>,274
<start> a woman and a child swim in a pool. the woman dips the child under the water for some time <end>,275
<start> in a pool a baby is pressed under water <end>,275
<start> a man talks with a tube syrup at his ear in a room <end>,276
<start> white guy phoning someone with a syrup bottle in a room at nighttime <end>,276
<start> a soccer player is shooting a ball in a curve and scoring a goal on a soccer field at night <end>,278
<start> soccer player scoring with direct free kick on a soccer field at nighttime <end>,278
<start> man laughs in a bathroom <end>,279
<start> man stands in bathroom <end>,279
<start> a woman speaks to the camera and gesticulates wildly in a room <end>,281
<start> colored woman making angry facial expressions on a bed <end>,281
<start> a woman talks in a tv show <end>,282
<start> woman says something into a microphone outdoors at daytime <end>,282
<start> a group of men is dancing on a stage <end>,283
<start> five people performing on a stage <end>,283
<start> a hedgehog sits in a bucket at daytime <end>,284
<start> hedgehog moves his nose <end>,284
<start> a man puts shoes on indoors <end>,285
<start> a man in a room lets some shoes fall to the floor and puts them automatically on. <end>,285
<start> 2 soccer players bumping into each other <end>,286
<start> 2 soccer players hit each other with their chests on a soccer field <end>,286
<start> a black man in a tv show speaks into a microphone <end>,287
<start> a groups of black rappers doing battle rap is shown on a tv screen. <end>,287
<start> a person lighting chemicals in a classroom <end>,288
<start> a woman light gases in classroom <end>,288
<start> a chinese woman speaks and laughs at home <end>,289
<start> in a living room a chinese woman in blue clothes is talking <end>,289
<start> 3 men are chasing each other outdoors <end>,290
<start> a man runs away outdoors at daytime <end>,290
"<start> an american football player throws the ball to his colleague in the football stadium, but he could not catch it <end>",291
