 ids captions
 128 "a man in a white shirt and a white man in a front of a "
 129 "a man is down on a road a it and it it it it it "
 130 "a little girl in a green and is holding a daytime "
 131 "a man is walking on a car and a man is down "
 132 "a cat is walking in the camera and a room "
 133 "a group of people are dancing in a stage in a room "
 134 "a young man in a black man and black man and black black man is "
 135 "a young man wearing a black shirt with a black is dancing "
 136 "a young man in a black and a black man in a room "
 137 "a young man is walking in a street in a house a man with an "
 138 "a man in a large and man in a street in front of a of "
 139 "a football is in a in a track "
 140 "a young man is walking on a beach and and "
 141 "a man is to a car a car and the day the day the day "
 142 "a young man is into a ball into the of "
 143 "a group of people are on a street in the daytime "
 144 "a young asian man wearing a black is is talking to a music with the "
 145 "a man in a store in a store a man in a red jacket is "
 146 "in a of a young boy in the the of the the the the the "
 147 "a small child in a small child and a person in a tree "
 148 "a group of people are by a crowd "
 149 "in a classroom a young man in a classroom hall a black and pulls pulls "
 150 "a person is on a to a to the the "
 151 "a man is down a and is shown on the side of a road "
 152 "a young man is hit the the of a of a "
 153 "a group of people are dancing on a stage "
 154 "on a soccer field a player runs the the ball in the daytime "
 155 "a man in a street at night "
 156 "a man is walking down a street on the street "
 157 "a man with a black man on a baseball "
 158 "a young man is singing on a stage "
 159 "a man jumps into a ball and into the camera "
 160 "man in a man with a man in a room "
 161 "a man in a of a man in a of a man is by the "
 162 "a group of of a person "
 163 "a young boy in a yellow and black man with a black and falls "
 164 "group of people are dancing in the of "
 165 "a of of people are to a "
 166 "a man is in a empty of a young man "
 167 "a person with a black and a black man is dancing "
 168 "a young man is walking in the daytime "
 169 "a group of people are walking on a street one one is the the day "
 170 "a person is on a field "
 171 "a little girl in a room with a room is is by the of the "
 172 "a young man in a pool with the pool into the of the of the "
 173 "a man is singing "
 174 "a young man is holding a cell phone with a cell phone with the door "
 175 "a man in a large "
 176 "in a city of a city in a city of a city "
 177 "a basketball player is playing a ball "
 178 "a man is being and a black "
 179 "a young man is holding a water on the ground and the the day the "
 180 "a young asian child in a bed of a young asian girl is talking "
 181 "a young man wearing a red shirt and a red shirt is talking to the "
 182 "a car is driving a car and a man in the street "
 183 "in a room is jumping on a door "
 184 "a group of people in a large of a large of people are holding a "
 185 "a young man is dancing "
 186 "a man is dancing on a room "
 187 "a boy in a room with a black is wearing a black shirt is talking "
 188 "a young asian man with a classroom with a "
 189 "a man and a man in a room "
 191 "a young man dressed in the of of a of the of the day the "
 192 "a black is on a on a street a boy in a hole "
 193 "a man in a person is holding a "
 194 "a woman is talking to a "
 195 "a water into the water into the camera and the water "
 196 "a person is walking in a street in street "
 197 "a group of people are dancing on a stage "
 198 "a in a kitchen a woman in a table with some eating "
 199 "a man on a red and a red "
 200 "a group of people are dancing on a stage in a tv show "
 201 "a person with a red and is is and a person in the "
 202 "a man in a room and a white "
 203 "a white cat in a table in a table in a room "
 204 "a small is lying on a on a water with a is is by the "
 205 "three asian men are dancing in a group of people are dancing "
 206 "a young man is holding a cell "
 207 "on a golf a man in a golf and a black man is running on "
 208 "a young woman with long hair and a woman is talking to a wall "
 209 "a young man is standing in a of a is is "
 210 "a man is running on a stage "
 211 "a group of people in a school in a room "
 212 "a woman in a building with a man is holding a wall to the day "
 213 "a man is talking to a "
 214 "man is holding a in his "
 215 "a man is holding a "
 216 "a boy in a room of a little boy with a yellow shirt is dancing "
 217 "a woman with long hair and white and are talking to the the day the "
 218 "a person on a street and a child is down a little girl is dancing "
 219 "six group of people are in a stage "
 220 "a person is a a person in a room and white is is dancing "
 221 "in a store a young man in a red shirt and white black white shirt "
 222 "a young boy wearing a white shirt and blue and then falls falls down "
 223 "in a classroom a young man in a black room with a black man is "
 224 "a dog in a living room a dog is to a "
 225 "a large large large is dancing on a street "
 226 "in a of a men are dancing in the side of the "
 227 "a young man is sitting on a bed and a is sitting on a couch "
 228 "a man in a stage with a is dancing in a room "
 229 "a man is outdoors at daytime "
 230 "a man in a green shirt and a ball into a car "
 231 "in a room a young man in black and black black and talking to the "
 232 "a young woman is walking in a room of a black is being by the "
 233 "a man with a man is dancing in a stage "
 234 "a man in a bottle of a man in a black "
 235 "a small and white dog is running in the street "
 236 "a man with a lights with a while on a street "
 237 "a young man is at a table and a man is shown and then then "
 238 "a young girl in a black and one is dancing at the day the day "
 239 "a man is in a gym and white man and white clothes and red clothes "
 240 "a child in a shower in a shower "
 241 "a young man wearing a red shirt and red tie is walking at a "
 242 "a young boy in a room with a red shirt is dancing to a "
 243 "a group of people in a crowd of people are dancing on a stage "
 244 "a large black man is dancing on a "
 245 "a man in a room a man is a a boy is holding a pink "
 246 "a man in a white top and white black and black black top is singing "
 247 "a man is walking on a street "
 248 "a young woman wearing a black shirt is walking in a street "
 249 "a group of people in a room with a black man is dancing while them "
 250 "in a stage a man with a man is dancing in a room "
 251 "at night crowd crowd of people in a crowd with "
 252 "a small dog in a floor of a dog "
 253 "a person is on a room "
 254 "a young man in a white shirt and blue shirt and it then then "
 255 "in a room a woman in a room a a girl with a blue shirt "
 256 "a boy in a red and white and and white and jeans and jeans the "
 257 "a boy is holding a little with a child with a little child is holding "
 258 "a group of people are dancing on a group of people are dancing in the "
 259 "a young man is holding a cup "
 260 "two men are dancing in a stage "
 261 "a young man is standing on a basketball of a man is at a wall "
 263 "a man is by a man on a man "
 264 "a young man is pushed from a face of his head then then then then "
 265 "a man is is into a of a of a young woman is "
 266 "a young woman is being by a dog in a window "
 267 "a car car and car in a car and car "
 268 "a is is shown to the the "
 269 "a young asian girl with a black and the the to the music the the "
 270 "a man is is shown on a goal "
 271 "a woman with a white shirt and a white is talking to the side of "
 272 "a young boy is running on a road "
 273 "a young man in a room and a white is sitting on a table "
 274 "a young man in the street in the street in the street "
 275 "a man in a is is walking on a street and up and them down "
 276 "a man in a blue shirt and a white shirt is sitting on a table "
 277 "a man is shown on a table in a house and then jumps then it "
 278 "a boy is dancing at a table "
 279 "a young woman is talking to a table with a man with a green and "
 280 "a group of people are on a stage "
 281 "a person in a room "
 282 "a young black man is running on a grassy and two men are running "
 283 "in a basketball hall a group of people are in a hall "
 284 "a man is jumping into a street "
 285 "a group of people are dancing in a room "
 286 "a car a car and a car at the "
 287 "a woman is dancing in a room "
 288 "a man in a man and a man is on a wall "
 289 "a group of people are in a field and one team the of the of "
 290 "a is is into the camera "
 291 "a man is jumping into a tree "
 292 "a woman in a room with a black shirt is her her "
 293 "a black black is walking on a road and one on a when the day "
 294 "in a group of young asian men in a suits are talking to the other "
 295 "a man in a bathtub "
 296 "a young man is dancing on a stage "
 297 "a group of women dancing on a stage "
 298 "a white dog is dancing in a room with a is dancing in a room "
 299 "a man in a ball and over a basketball "
 300 "on a sunny day of people are in a large "
 301 "a young asian man wearing a red shirt and white shirt and white vest is "
 302 "a man is dancing on a stage "
 303 "a boy in a green shirt and green and falls down the daytime "
 304 "a person is running on a road "
 305 "a woman in a green and top of a "
 306 "a cat in a room "
 307 "a dog is sleeping on a couch "
 308 "a young man is walking on the side of the day the day then falls "
 309 "two men are talking in a room "
 310 "a young man wearing a red shirt and red hat and red and then then "
 311 "a young man is sitting a hand "
 312 "in a room a man in a building a man with a black man is "
 313 "a young boy wearing a blue shirt and a white shirt is talking to the "
 314 "a young dog is in a room a room with a black man is by "
 315 "a man is walking in a street "
 316 "a young man in a and and white and wearing a blue shirt and jeans "
 317 "in a a a dog is in a of a dog is "
 318 "a man is dancing to a window "
 319 "in a street a group of people are in a street "
 320 "man in a basketball in a gym "
 321 "a group of people dancing in a stage "
 322 "a person is playing a man with a black and a black with a black "
 323 "a is is dancing at a "
 324 "a young woman is sitting on a couch and a dog is "
 325 "a young man is singing on a room "
 326 "a man in white t shirt and white man is holding a of of "
 327 "a group of people are dancing on a stage "
 328 "a of a of people are running in a snow and "
 329 "a man in a stadium a man in a sports hall "
 330 "a group of people are dancing on a "
 331 "a man in a black man in a room "
 332 "a little boy is sitting in a bed "
 334 "a crowd at night a night with a black is jumping on the stage "
 335 "man in a room and black black and is singing to a young them is "
 336 "a black and black man in a black and is shown and a black man "
 337 "a black of a black sitting in a bedroom a room "
 338 "a man is sitting on a table with a hand "
 339 "a group of people are walking on a stage "
 340 "a is on a "
 341 "a woman is in a room with a room "
 342 "a young man is dancing in a of a man with a "
 343 "a man in a red indoors "
 344 "a young man is jumping on a and a wall and a person runs down "
 345 "in a room a group of young men are in a school one one is "
 346 "a young man in a red shirt and his head "
 347 "a boy is up in a bed "
 348 "in a room a young man with a yellow shirt and a yellow is holding "
 349 "two men are dancing in a stage in a building one with the day "
 350 "a young man dressed in a black shirt is dancing to a music "
 351 "a young man is driving a car and is riding on a road "
 352 "a woman in a bedroom a room and a man is dancing "
 353 "a man is a a a man in a "
 354 "a group of people with a and with a microphone "
 355 "a young asian girl is something and down and other "
 356 "a bear is jumping down the "
 357 "a woman with a bed and lying on a bed "
 358 "a man with a man with his head with his head in his head with "
 359 "a group of people in a black and is singing "
 360 "a man is on a stage "
 361 "a woman is on a stage "
 362 "a man in a car with a car and a car "
 363 "group of people are standing in a of a group of people "
 364 "a young asian woman with a hair is singing and drums drums one is singing "
 365 "a young asian woman sitting in a kitchen with her head in her bathtub with "
 366 "a young man in a red shirt and a black is dancing on a wall "
 367 "a man wearing a blue shirt and a blue shirt and a black shirt is "
 368 "a man in a of a man in a man "
 369 "a black and moves to "
 370 "a woman is a a man with a hand with a "
 371 "man in a room with a white shirt and white shirt and grey grey hat "
 372 "a man on a street at a street at the street in the street at "
 373 "a young girl with a kitchen "
 374 "three men are walking on a street in a city of people are holding a "
 375 "a man is on a and is singing "
 376 "in a room a young boy with a black and wearing a red shirt is "
 377 "a young man is dancing on a room "
 378 "a young man is standing in a room of a room "
 379 "a man on a crowd "
 380 "a young asian woman with a and a table "
 381 "a little girl with a brown and her her her to her to music "
 382 "a little girl in a room with a black is is on a door door "
 383 "a young boy in a blue shirt and white boy wearing a black shirt is "
 384 "a man is walking down a street "
 386 "a man is down down to snow and down and down "
 387 "a group of people are dancing in a room "
 388 "a man in a red shirt and white shirt with a red of a white "
 389 "a is down at daytime "
 390 "a young man is standing in a room and a man is "
 391 "a man on a street at a street at daytime "
 392 "a young man in a white shirt and a black of a black is talking "
 393 "a man wearing a soccer shirt with a soccer "
 394 "a boy boy in a room with a red shirt is is with a wall "
 395 "a man in a room and a man is the the the of the the "
 396 "a black man is into a street "
 397 "a young man is on a tree on a street "
 399 "a woman in a white shirt and white white shirt is talking to a them "
 400 "a young black man wearing black black and black hat and dancing in a room "
 401 "a person is in a room with a room with a person with a dog "
 402 "a young boy in a white shirt and white t shirt and white shirt is "
 403 "a young man with a room with a room "
 404 "a young asian women wearing a white shirt and white white shirt is walking at "
 405 "a man in a car and a black man and over the of of it "
 406 "a man walking walking on a street at a "
 407 "a young woman with a hair with a blue at a "
 408 "a boy sitting on a car seat of a car "
 409 "a man wearing a red shirt and white shirt is dancing with a man with "
 410 "a man wearing blue jacket and tie on a sidewalk with a black and falls "
 411 "two men are dancing on a stage "
 412 "in a room a young girl wearing a black and white shirt is wearing a "
 413 "a group of people are dancing on a stage "
 414 "two young asian woman in a room and a room "
 415 "a woman is talking to the camera and his head "
 416 "in a stage with a red and red red shirt is singing "
 417 "a man walks to a bottle in a "
 418 "a woman is shown in a room "
 419 "a boy in a bedroom and a boy "
 420 "a black man wearing red shirt and red hat and red hat and "
 421 "a man is walking on a street "
 422 "a young man in a snow "
 423 "a man in a stage and a woman is dancing "
 424 "a car drives in a car and drives "
 425 "a man is dancing on a stage "
 426 "a man is dancing on a "
 427 "dog and white dog and his head "
 428 "a man on a basketball in a room "
 429 "a young man wearing a green shirt and blue shirt is standing on the of "
 430 "a young asian girl is and a and "
 431 "a person is running on a street "
 432 "a man wearing red jacket jacket his hands "
 433 "man wearing a green top is is on a wall and it "
 434 "a of a man in a red and is "
 435 "a young man in a a man is into the ground of the daytime "
 436 "a man is down a a of a person in a car is along along "
 437 "a of a man is jumping and a is is jumping and a man is "
 438 "a young man is with a a "
 439 "a young black man wearing a white shirt and white pants with a red outfit "
 440 "a person in a red and black and a black and a black and a "
 441 "a woman in a store with a red and is talking "
 442 "woman in an room with a woman with her in "
 443 "a person in a snow and running and running "
 444 "a man in a soccer field "
 445 "a group of people are dancing in a dance in front of a group of "
 446 "at night two men are in the air and one of the air "
 447 "a man in a room with a black is dancing in a room "
 448 "a people in a red and people in a crowd of people are standing at "
 449 "five asian men in stage and one and them them them them them them them "
 450 "a car is is by a car and a person in the road "
 451 "a young man is walking in a of a young man is "
 452 "a person is jumping on a snow and one on a red and one "
 453 "in a room a a woman is a a hand in a kitchen "
 454 "a football player is playing on a ball on a football field "
 455 "in a crowd of people are by a group of people are "
 456 "a man in a city with a man with his arms and his hands "
 457 "a young boy is a a of a young man and a green falls down "
 458 "a group of people in a room in a room with a room "
 459 "a man in a car and a car on a street "
 460 "a woman dancing in a street of a man with the air as the air "
 461 "a person is up a over a and a a "
 462 "a person in a water in the daytime "
 463 "a man in a large of a is jumping by a person "
 464 "on stage and man in the background of a group of people are dancing "
 465 "a young man in a pool pool water in a pool of water "
 466 "a person is into a ball and a person is shown "
 467 "men in a field with a black is standing on the air "
 468 "a young man is holding a white shirt and white and white sweater and then "
 469 "a man wearing a black man is running and a car "
 470 "a group of people are in a black and dressed in black room with a "
 471 "a young man in a red and is walking on the street "
 472 "a person with a green and a and is sitting on the ground to the "
 473 "a young man is driving a car and a man in a car and then "
 474 "a man in a large large person is "
 475 "a young woman wearing a blue and blue and blue blue t shirt and jeans "
 476 "a dog is walking on a patio "
 477 "a young man is holding a microphone with a microphone with a hand with a "
 478 "a group of men are on a stage "
 479 "a woman in a room "
 480 "in a room with a man with his hair "
 481 "a group of people are dancing in a large building "
 482 "a young man is being in a room with a phone is shown shown shown "
 483 "a small dog with a small and is "
 484 "a young man with a black and is on a glass "
 485 "a young man is sitting in a room a room a young man is talking "
 486 "a is jumping into a water "
 487 "a boy in a red shirt and a blue and is standing in the of "
 488 "in the of a crowd of a crowd "
 489 "a man is running a ball "
 490 "a man is singing on a stage "
 491 "a young man with a hair is walking a a "
 492 "a young man is talking to a microphone "
 493 "a man is on a couch in a room "
 494 "a young man wearing a green shirt and blue shirt is talking to a red "
 495 "a young man in a red shirt and white shirt and white "
 496 "a man in a car a car and a person is riding and the door "
 497 "a man is up to a woman "
 498 "a young man wearing a white shirt and a black and is standing on the "
 499 "man is jumping in a street of a of "
 500 "a young man in a room is sitting on a room "
 501 "a group of people are standing on a field "
 502 "a young woman in a car and a woman is talking to the camera "
 503 "three men in a building one in the clothes are standing on the wall "
 504 "a black man in a room with a black and is dancing on a music "
 505 "a cat is on a legs and a dog is down the daytime "
 506 "a man in a is is running on a road "
 507 "a man in a city a man in a red shirt and is jumping on "
 508 "a man is on a sidewalk at daytime "
 509 "a person is into a ball "
 511 "a person is playing a "
 512 "a man in a red and white and the the "
 513 "a person is on a stage "
 514 "a woman in a stage "
 515 "a man wearing a white jacket is a young man is being "
 516 "in a floor and a young man and the the and the the "
 517 "in a living room a young man in a black shirt is dancing "
 518 "cat cat on a toy and a white and its its its on a field "
 519 "five asian girls are dancing on a stage "
 520 "a young male is dancing on a stage "
 521 "a young man in a black and is wearing a black and black and them "
 522 "a black woman dancing in a dance in a room "
 523 "a young man on a a man jumps a high jumps at daytime "
 524 "a man is talking to a room "
 525 "a woman is a a show "
 526 "a young man in a room with a white shirt is talking to a of "
 527 "a man is singing in a room "
 528 "a man is walking on a car and a person is down and it on "
 529 "a person wearing red red and red and is is talking "
 530 "a woman talking to a woman in a room "
 531 "a man wearing a black and is dancing on a "
 532 "a man is walking on a of a "
 533 "a man in a white shirt is dancing in a street "
 534 "a cat is standing on a door "
 535 "a young man wearing a red shirt is into a of "
 536 "a group of people are in a stage "
 537 "a young black is jumping down a road "
 538 "a group of woman in a suits and in a tv "
 539 "a man is singing on a stage "
 540 "a young boy is dancing on a street "
 541 "a soccer player in a ball in a goal "
 542 "a young man is walking on a park a girl with a green shirt and "
 543 "a man with a black man is by a by a man "
 544 "of is jumping into a "
 545 "a person is shown in a table "
 546 "a dog on a fence at daytime "
 547 "a girl with a girl with a car is "
 549 "a young man in a white shirt and a white table and a white boy "
 550 "a man in a bed "
 551 "group of people are dancing on the stage "
 552 "a little boy is holding a toy "
 553 "a video of a of a person is shown "
 554 "a young asian girl is up to a dog and a dog who who is "
 555 "a man in a white shirt and a white shirt and the the of the "
 556 "outside outside outside and then and then to the other "
 557 "a man is standing on a chair in a blue shirt and blue blue shirt "
 558 "a is is walking on a street "
 559 "a young man is talking to a in a room "
 560 "a person is walking in a large "
 561 "a woman in a blonde dress is talking to a the of a girl with "
 562 "a woman is down down "
 563 "a man in a red top and white white and is standing on a wall "
 564 "a man on the day of a tree at daytime "
 565 "a young black woman in a room a room a black man is holding a "
 566 "a person is down a table and falls down the wall "
 567 "a small is is from a and a a and the the the "
 568 "a man in a room a a man "
 569 "a woman in a room a black woman is a a black is is talking "
 570 "a young man with a and a a girl in a room and a white "
 571 "a man is by a tree on a sidewalk during the day "
 572 "a man is riding in a car "
 573 "a young man wearing a red shirt is jumping on a road "
 574 "a person is shown on a "
 575 "a man is on a tree of a tree "
 576 "a young girl is holding a girl in a kitchen "
 577 "a person in a red is is standing in a red is standing in the "
 578 "a woman is being in a room "
 579 "a man in water water water on water "
 580 "a group of people are dancing in a stage "
 581 "a in the water in the daytime "
 582 "a man is at a beach "
 583 "a young man wearing a t shirt and a dancing on a street "
 584 "woman in a room "
 585 "a woman with a white shirt is by a girl with her her her her "
 586 "a man is on a "
 587 "a young man is outside in a grassy field at daytime "
 588 "a woman is on a "
 589 "a man is running on a field "
 590 "a man in a snow of a running and running on a snow "
 591 "a group of people are dancing on a stage "
 592 "a young man in a school room a young man with a blue shirt and "
 593 "a person is down down the street "
 594 "a group of people in a stage "
 595 "a person is down a a phone in a hole jumps down a hole falls "
 596 "a large room in a room a young asian is talking to a of a "
 597 "a person is driving a car at daytime "
 598 "a young girl in a room and a room "
 599 "a young man in a kitchen "
 600 "a man is driving on a basketball court on a road "
 601 "a man is on a platform at a "
 602 "a group of young young men are standing in a front of a wall "
 603 "a young player is over a ball in a ball in a ball in a "
 604 "a man in a pool "
 605 "in a classroom a young young boy in a red and is talking down the "
 606 "a video of a video of a person "
 607 "a person is on a snow "
 608 "a group of people in a white and white and white white wearing wearing black "
 609 "a man in a ball outdoors at daytime "
 610 "a man in a white shirt and a white shirt is holding a "
 611 "a man with red and with a red jacket with a black man is holding "
 612 "a group of people are walking on a stage "
 613 "a person is running on a "
 614 "two people sitting in a car car and the car "
 615 "a group of people are dancing in a room "
 616 "a person is down down "
 617 "a man in a black man is off a man falls to the ground and "
 618 "a young man in a snow a snow and a building during the day during "
 619 "a young woman is walking on a park and a white and is running "
 620 "a group of men with a indoor on a stage "
 621 "a cat is on a on a "
 622 "a black man is in a room "
 623 "a night at night "
 624 "a group of people are dancing at a "
 625 "a woman in a sidewalk and a woman is walking and the day when the "
 626 "a man is running on a road "
 627 "a young asian girl is dancing "
 628 "a person is down on the of and and one down the the of one "
 629 "in a room a young asian woman in a black and wearing a black shirt "
 630 "a boy in a baby and baby is crying to the camera "
 631 "a woman is at a room "
 632 "a young dog is sleeping in a table with a white and white white white "
 633 "a group of people are dancing in a room "
 634 "a white man in a red and a man in a room "
 635 "a man jumps into a mountain "
 636 "a man is into a window "
 637 "a car on the street "
 638 "a group of people are dancing in a stage "
 639 "a woman is talking to a man with a man with a red "
 640 "a person is driving a car on a table "
 641 "a of a of a people is a a man "
 643 "a basketball player in a of a stadium a red "
 644 "a young asian men is talking to a hand in a red shirt is holding "
 645 "a man in a room a white dog with a red shirt and white dog "
 646 "a young boy is a a boy and a red and jeans and jeans jeans "
 647 "a person is holding a face and a person is by "
 648 "a man is a a bike is by a "
 649 "a man in a room and a boy is up a it on a wall "
 650 "a person is is being by a and and a is is by the the "
 651 "a man in a room with a white shirt and black man is hitting a "
 652 "a man wearing a white shirt is a a tree a tree a tree "
 653 "a woman is holding a large "
 654 "a car on a car and a man is shown "
 655 "a dog with a human with a in a red top and its its its "
 656 "a young man is a a man in a table with a white shirt is "
 657 "a man is walking on a and a man and it "
 658 "a little boy in a bedroom a boy in a room "
 659 "a young man in a white shirt with a black with a white shirt is "
 660 "a man is running on a road "
 661 "a group of people are running and a dog and one dog and one dog "
 662 "a young man is a in a of a man in a room and white "
 663 "a man in a red and white of a at daytime "
 664 "a man in a car and white and is riding a the day and the "
 665 "a young boy in a blue shirt and a blue and then then then then "
 666 "a person on a stage and a man and a person and its mouth and "
 667 "a man is walking in a water "
 668 "a young boy is riding a small girl is riding on a car and is "
 669 "a person is standing on a table and then then then then then it then "
 670 "a man in a shirt with a hat and his head with his head down "
 671 "two men are in a room "
 672 "a young man is dancing on a stage "
 673 "a man is down a man in a car and falls down "
 674 "a woman woman sitting on a table and a woman and a white is eating "
 675 "in a school a group of a group of a is dancing in a room "
 676 "a toddler is dancing in a bed "
 677 "a small black is is talking to the camera and the the camera "
 678 "a person is holding a of of a people "
 679 "a man is in a man in his head and "
 680 "a young man in a red dress and a man is by a young man "
 681 "a man in a man with a ball on his ball to his "
 682 "a woman is dancing in a room "
 683 "a man is walking on a ball and one man jumps over the "
 684 "a man is up a a in a room "
 685 "a goats and a tree and the the "
 686 "a woman with a woman with a pink and a white is is "
 687 "a is holding a water to a water "
 688 "a young woman is walking on a door and a "
 689 "in a room a black woman with a and "
 690 "a man is dancing on a street "
 691 "a young asian is is dancing on a tree "
 692 "a group of people are dancing in a street "
 693 "a man is in a car and is walking on a street "
 694 "a crowd of people in a night "
 695 "in a large of people are in a of a of people "
 696 "a man walks in a ball outdoors at daytime "
 697 "a man is up a garden is is on a dog "
 698 "a baby is sitting in a bed "
 699 "a person on a stage with a person "
 700 "a young man in a black t shirt is walking in the day of the "
 701 "on a sidewalk a man is walking at a "
 702 "a man is jumping at a at daytime "
 703 "a young man is singing in a room "
 704 "a black man is running in a street at daytime "
 705 "a man dancing in a room "
 706 "a man is jumping on a water water water water water "
 707 "a group of people are running in a stadium "
 708 "a man is walking on a street at daytime "
 709 "a young cat is on a living room a door and the the "
 710 "a group of a person are are "
 711 "a boy in a room "
 712 "a man in a man is walking on the street in a street "
 713 "a young girl is dancing in a room with a black is is talking "
 714 "a person is holding a room "
 715 "a cat is dancing "
 716 "a young man is dancing in a room a young man is talking to the "
 717 "a person is walking on a house "
 718 "a young boy in a baseball cap and a baseball are "
 719 "in a game in a stadium is is being in the of court "
 720 "a cat jumps on a tree "
 721 "a young girl in a blue jacket and a blue "
 722 "a black man in a black and is is dancing in a of of one "
 723 "a group of people are in a stage are talking to the other "
 724 "a baby in a green in a room "
 725 "a man on a beach "
 726 "a young woman is sitting on a tree and and a leg "
 727 "a group of people in a crowd of a group of people are standing in "
 728 "a man is singing on a stage "
 729 "a dog is walking on a and and a man "
